Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
486;05 Essen & Trinken;raňajkovať;frühstücken;Dnes si zapamätám slovo „raňajkovať“.;Heute merke ich mir das Wort „frühstücken“.
487;05 Essen & Trinken;obedovať;zu Mittag essen;Dnes si zapamätám slovo „obedovať“.;Heute merke ich mir das Wort „zu Mittag essen“.
488;05 Essen & Trinken;večerať;zu Abend essen;Dnes si zapamätám slovo „večerať“.;Heute merke ich mir das Wort „zu Abend essen“.
489;06 Zuhause;dom;Haus;Dnes si zapamätám slovo „dom“.;Heute merke ich mir das Wort „Haus“.
490;06 Zuhause;byt;Wohnung;Dnes si zapamätám slovo „byt“.;Heute merke ich mir das Wort „Wohnung“.
491;06 Zuhause;izba;Zimmer;Dnes si zapamätám slovo „izba“.;Heute merke ich mir das Wort „Zimmer“.
492;06 Zuhause;kuchyňa;Küche;Dnes si zapamätám slovo „kuchyňa“.;Heute merke ich mir das Wort „Küche“.
493;06 Zuhause;kúpeľňa;Badezimmer;Dnes si zapamätám slovo „kúpeľňa“.;Heute merke ich mir das Wort „Badezimmer“.
494;06 Zuhause;spálňa;Schlafzimmer;Dnes si zapamätám slovo „spálňa“.;Heute merke ich mir das Wort „Schlafzimmer“.
495;06 Zuhause;obývačka;Wohnzimmer;Dnes si zapamätám slovo „obývačka“.;Heute merke ich mir das Wort „Wohnzimmer“.
496;06 Zuhause;chodba;Flur;Dnes si zapamätám slovo „chodba“.;Heute merke ich mir das Wort „Flur“.
497;06 Zuhause;balkón;Balkon;Dnes si zapamätám slovo „balkón“.;Heute merke ich mir das Wort „Balkon“.
498;06 Zuhause;záhrada;Garten;Dnes si zapamätám slovo „záhrada“.;Heute merke ich mir das Wort „Garten“.
499;06 Zuhause;garáž;Garage;Dnes si zapamätám slovo „garáž“.;Heute merke ich mir das Wort „Garage“.
500;06 Zuhause;dvere;Tür;Dnes si zapamätám slovo „dvere“.;Heute merke ich mir das Wort „Tür“.
501;06 Zuhause;okno;Fenster;Dnes si zapamätám slovo „okno“.;Heute merke ich mir das Wort „Fenster“.
502;06 Zuhause;stena;Wand;Dnes si zapamätám slovo „stena“.;Heute merke ich mir das Wort „Wand“.
503;06 Zuhause;podlaha;Boden;Dnes si zapamätám slovo „podlaha“.;Heute merke ich mir das Wort „Boden“.
504;06 Zuhause;strop;Decke;Dnes si zapamätám slovo „strop“.;Heute merke ich mir das Wort „Decke“.
505;06 Zuhause;strecha;Dach;Dnes si zapamätám slovo „strecha“.;Heute merke ich mir das Wort „Dach“.
506;06 Zuhause;schody;Treppe;Dnes si zapamätám slovo „schody“.;Heute merke ich mir das Wort „Treppe“.
507;06 Zuhause;výťah;Aufzug;Dnes si zapamätám slovo „výťah“.;Heute merke ich mir das Wort „Aufzug“.
508;06 Zuhause;kľúč;Schlüssel;Dnes si zapamätám slovo „kľúč“.;Heute merke ich mir das Wort „Schlüssel“.
509;06 Zuhause;zámok;Schloss;Dnes si zapamätám slovo „zámok“.;Heute merke ich mir das Wort „Schloss“.
510;06 Zuhause;posteľ;Bett;Dnes si zapamätám slovo „posteľ“.;Heute merke ich mir das Wort „Bett“.
511;06 Zuhause;stolička;Stuhl;Dnes si zapamätám slovo „stolička“.;Heute merke ich mir das Wort „Stuhl“.
512;06 Zuhause;gauč;Sofa;Dnes si zapamätám slovo „gauč“.;Heute merke ich mir das Wort „Sofa“.
513;06 Zuhause;skriňa;Schrank;Dnes si zapamätám slovo „skriňa“.;Heute merke ich mir das Wort „Schrank“.
514;06 Zuhause;polica;Regal;Dnes si zapamätám slovo „polica“.;Heute merke ich mir das Wort „Regal“.
515;06 Zuhause;lampa;Lampe;Dnes si zapamätám slovo „lampa“.;Heute merke ich mir das Wort „Lampe“.
516;06 Zuhause;svetlo;Licht;Dnes si zapamätám slovo „svetlo“.;Heute merke ich mir das Wort „Licht“.
517;06 Zuhause;zrkadlo;Spiegel;Dnes si zapamätám slovo „zrkadlo“.;Heute merke ich mir das Wort „Spiegel“.
518;06 Zuhause;koberec;Teppich;Dnes si zapamätám slovo „koberec“.;Heute merke ich mir das Wort „Teppich“.
519;06 Zuhause;záves;Vorhang;Dnes si zapamätám slovo „záves“.;Heute merke ich mir das Wort „Vorhang“.
520;06 Zuhause;vankúš;Kissen;Dnes si zapamätám slovo „vankúš“.;Heute merke ich mir das Wort „Kissen“.
521;06 Zuhause;deka;Decke;Dnes si zapamätám slovo „deka“.;Heute merke ich mir das Wort „Decke“.
522;06 Zuhause;uterák;Handtuch;Dnes si zapamätám slovo „uterák“.;Heute merke ich mir das Wort „Handtuch“.
523;06 Zuhause;mydlo;Seife;Dnes si zapamätám slovo „mydlo“.;Heute merke ich mir das Wort „Seife“.
524;06 Zuhause;šampón;Shampoo;Dnes si zapamätám slovo „šampón“.;Heute merke ich mir das Wort „Shampoo“.
525;06 Zuhause;zubná kefka;Zahnbürste;Dnes si zapamätám slovo „zubná kefka“.;Heute merke ich mir das Wort „Zahnbürste“.
526;06 Zuhause;chladnička;Kühlschrank;Dnes si zapamätám slovo „chladnička“.;Heute merke ich mir das Wort „Kühlschrank“.
527;06 Zuhause;mraznička;Gefrierschrank;Dnes si zapamätám slovo „mraznička“.;Heute merke ich mir das Wort „Gefrierschrank“.
528;06 Zuhause;rúra;Backofen;Dnes si zapamätám slovo „rúra“.;Heute merke ich mir das Wort „Backofen“.
529;06 Zuhause;sporák;Herd;Dnes si zapamätám slovo „sporák“.;Heute merke ich mir das Wort „Herd“.
530;06 Zuhause;mikrovlnka;Mikrowelle;Dnes si zapamätám slovo „mikrovlnka“.;Heute merke ich mir das Wort „Mikrowelle“.
531;06 Zuhause;umývačka;Geschirrspüler;Dnes si zapamätám slovo „umývačka“.;Heute merke ich mir das Wort „Geschirrspüler“.
532;06 Zuhause;práčka;Waschmaschine;Dnes si zapamätám slovo „práčka“.;Heute merke ich mir das Wort „Waschmaschine“.
533;06 Zuhause;vysávač;Staubsauger;Dnes si zapamätám slovo „vysávač“.;Heute merke ich mir das Wort „Staubsauger“.
534;06 Zuhause;odpad;Müll;Dnes si zapamätám slovo „odpad“.;Heute merke ich mir das Wort „Müll“.
535;06 Zuhause;kôš;Mülleimer/Korb;Dnes si zapamätám slovo „kôš“.;Heute merke ich mir das Wort „Mülleimer/Korb“.
536;06 Zuhause;elektrina;Strom;Dnes si zapamätám slovo „elektrina“.;Heute merke ich mir das Wort „Strom“.
537;06 Zuhause;kúrenie;Heizung;Dnes si zapamätám slovo „kúrenie“.;Heute merke ich mir das Wort „Heizung“.
538;06 Zuhause;internet;Internet;Dnes si zapamätám slovo „internet“.;Heute merke ich mir das Wort „Internet“.
539;06 Zuhause;zásuvka;Steckdose;Dnes si zapamätám slovo „zásuvka“.;Heute merke ich mir das Wort „Steckdose“.
540;06 Zuhause;kábel;Kabel;Dnes si zapamätám slovo „kábel“.;Heute merke ich mir das Wort „Kabel“.
541;06 Zuhause;nabíjačka;Ladegerät;Dnes si zapamätám slovo „nabíjačka“.;Heute merke ich mir das Wort „Ladegerät“.
542;06 Zuhause;batéria;Batterie;Dnes si zapamätám slovo „batéria“.;Heute merke ich mir das Wort „Batterie“.
543;06 Zuhause;vec;Sache;Dnes si zapamätám slovo „vec“.;Heute merke ich mir das Wort „Sache“.
544;06 Zuhause;krabica;Schachtel;Dnes si zapamätám slovo „krabica“.;Heute merke ich mir das Wort „Schachtel“.
545;06 Zuhause;taška;Tasche;Dnes si zapamätám slovo „taška“.;Heute merke ich mir das Wort „Tasche“.
546;06 Zuhause;batoh;Rucksack;Dnes si zapamätám slovo „batoh“.;Heute merke ich mir das Wort „Rucksack“.
547;06 Zuhause;oblečenie;Kleidung;Dnes si zapamätám slovo „oblečenie“.;Heute merke ich mir das Wort „Kleidung“.
548;06 Zuhause;tričko;T-Shirt;Dnes si zapamätám slovo „tričko“.;Heute merke ich mir das Wort „T-Shirt“.
549;06 Zuhause;košeľa;Hemd;Dnes si zapamätám slovo „košeľa“.;Heute merke ich mir das Wort „Hemd“.
550;06 Zuhause;nohavice;Hose;Dnes si zapamätám slovo „nohavice“.;Heute merke ich mir das Wort „Hose“.
551;06 Zuhause;džínsy;Jeans;Dnes si zapamätám slovo „džínsy“.;Heute merke ich mir das Wort „Jeans“.
552;06 Zuhause;šortky;Shorts;Dnes si zapamätám slovo „šortky“.;Heute merke ich mir das Wort „Shorts“.
553;06 Zuhause;sukňa;Rock;Dnes si zapamätám slovo „sukňa“.;Heute merke ich mir das Wort „Rock“.
554;06 Zuhause;šaty;Kleid;Dnes si zapamätám slovo „šaty“.;Heute merke ich mir das Wort „Kleid“.
555;06 Zuhause;sveter;Pullover;Dnes si zapamätám slovo „sveter“.;Heute merke ich mir das Wort „Pullover“.
556;06 Zuhause;bunda;Jacke;Dnes si zapamätám slovo „bunda“.;Heute merke ich mir das Wort „Jacke“.
557;06 Zuhause;kabát;Mantel;Dnes si zapamätám slovo „kabát“.;Heute merke ich mir das Wort „Mantel“.
558;06 Zuhause;topánka;Schuh;Dnes si zapamätám slovo „topánka“.;Heute merke ich mir das Wort „Schuh“.
559;06 Zuhause;ponožka;Socke;Dnes si zapamätám slovo „ponožka“.;Heute merke ich mir das Wort „Socke“.
560;06 Zuhause;čiapka;Mütze;Dnes si zapamätám slovo „čiapka“.;Heute merke ich mir das Wort „Mütze“.
561;06 Zuhause;okuliare;Brille;Dnes si zapamätám slovo „okuliare“.;Heute merke ich mir das Wort „Brille“.
562;06 Zuhause;hodinky;Armbanduhr;Dnes si zapamätám slovo „hodinky“.;Heute merke ich mir das Wort „Armbanduhr“.
563;06 Zuhause;peňaženka;Geldbörse;Dnes si zapamätám slovo „peňaženka“.;Heute merke ich mir das Wort „Geldbörse“.
564;06 Zuhause;dáždnik;Regenschirm;Dnes si zapamätám slovo „dáždnik“.;Heute merke ich mir das Wort „Regenschirm“.
565;06 Zuhause;poriadok;Ordnung;Dnes si zapamätám slovo „poriadok“.;Heute merke ich mir das Wort „Ordnung“.
566;06 Zuhause;neporiadok;Unordnung;Dnes si zapamätám slovo „neporiadok“.;Heute merke ich mir das Wort „Unordnung“.
567;06 Zuhause;nájom;Miete;Dnes si zapamätám slovo „nájom“.;Heute merke ich mir das Wort „Miete“.
568;06 Zuhause;susedstvo;Nachbarschaft;Dnes si zapamätám slovo „susedstvo“.;Heute merke ich mir das Wort „Nachbarschaft“.
569;06 Zuhause;poschodie;Stockwerk;Dnes si zapamätám slovo „poschodie“.;Heute merke ich mir das Wort „Stockwerk“.
570;06 Zuhause;vchod;Eingang;Dnes si zapamätám slovo „vchod“.;Heute merke ich mir das Wort „Eingang“.
571;06 Zuhause;východ;Ausgang;Dnes si zapamätám slovo „východ“.;Heute merke ich mir das Wort „Ausgang“.
572;06 Zuhause;zvonček;Klingel;Dnes si zapamätám slovo „zvonček“.;Heute merke ich mir das Wort „Klingel“.
573;06 Zuhause;pošta;Post;Dnes si zapamätám slovo „pošta“.;Heute merke ich mir das Wort „Post“.
574;06 Zuhause;balík;Paket;Dnes si zapamätám slovo „balík“.;Heute merke ich mir das Wort „Paket“.
575;06 Zuhause;list;Brief;Dnes si zapamätám slovo „list“.;Heute merke ich mir das Wort „Brief“.
576;06 Zuhause;papier;Papier;Dnes si zapamätám slovo „papier“.;Heute merke ich mir das Wort „Papier“.
577;06 Zuhause;pero;Stift;Dnes si zapamätám slovo „pero“.;Heute merke ich mir das Wort „Stift“.
578;06 Zuhause;ceruzka;Bleistift;Dnes si zapamätám slovo „ceruzka“.;Heute merke ich mir das Wort „Bleistift“.
579;06 Zuhause;nožnice;Schere;Dnes si zapamätám slovo „nožnice“.;Heute merke ich mir das Wort „Schere“.
580;06 Zuhause;lepidlo;Kleber;Dnes si zapamätám slovo „lepidlo“.;Heute merke ich mir das Wort „Kleber“.
581;06 Zuhause;náradie;Werkzeug;Dnes si zapamätám slovo „náradie“.;Heute merke ich mir das Wort „Werkzeug“.
582;06 Zuhause;kladivo;Hammer;Dnes si zapamätám slovo „kladivo“.;Heute merke ich mir das Wort „Hammer“.
583;06 Zuhause;skrutka;Schraube;Dnes si zapamätám slovo „skrutka“.;Heute merke ich mir das Wort „Schraube“.
584;06 Zuhause;drevo;Holz;Dnes si zapamätám slovo „drevo“.;Heute merke ich mir das Wort „Holz“.
585;06 Zuhause;kov;Metall;Dnes si zapamätám slovo „kov“.;Heute merke ich mir das Wort „Metall“.
586;06 Zuhause;plast;Kunststoff;Dnes si zapamätám slovo „plast“.;Heute merke ich mir das Wort „Kunststoff“.
587;06 Zuhause;sklo;Glas;Dnes si zapamätám slovo „sklo“.;Heute merke ich mir das Wort „Glas“.
588;07 Stadt & Reisen;mesto;Stadt;Dnes si zapamätám slovo „mesto“.;Heute merke ich mir das Wort „Stadt“.
589;07 Stadt & Reisen;dedina;Dorf;Dnes si zapamätám slovo „dedina“.;Heute merke ich mir das Wort „Dorf“.
590;07 Stadt & Reisen;ulica;Straße;Dnes si zapamätám slovo „ulica“.;Heute merke ich mir das Wort „Straße“.
591;07 Stadt & Reisen;cesta;Weg/Straße;Dnes si zapamätám slovo „cesta“.;Heute merke ich mir das Wort „Weg/Straße“.
592;07 Stadt & Reisen;námestie;Platz;Dnes si zapamätám slovo „námestie“.;Heute merke ich mir das Wort „Platz“.
593;07 Stadt & Reisen;centrum;Zentrum;Dnes si zapamätám slovo „centrum“.;Heute merke ich mir das Wort „Zentrum“.
594;07 Stadt & Reisen;park;Park;Dnes si zapamätám slovo „park“.;Heute merke ich mir das Wort „Park“.
595;07 Stadt & Reisen;stanica;Bahnhof/Station;Dnes si zapamätám slovo „stanica“.;Heute merke ich mir das Wort „Bahnhof/Station“.
596;07 Stadt & Reisen;zastávka;Haltestelle;Dnes si zapamätám slovo „zastávka“.;Heute merke ich mir das Wort „Haltestelle“.
597;07 Stadt & Reisen;letisko;Flughafen;Dnes si zapamätám slovo „letisko“.;Heute merke ich mir das Wort „Flughafen“.
598;07 Stadt & Reisen;vlak;Zug;Dnes si zapamätám slovo „vlak“.;Heute merke ich mir das Wort „Zug“.
599;07 Stadt & Reisen;autobus;Bus;Dnes si zapamätám slovo „autobus“.;Heute merke ich mir das Wort „Bus“.
600;07 Stadt & Reisen;električka;Straßenbahn;Dnes si zapamätám slovo „električka“.;Heute merke ich mir das Wort „Straßenbahn“.
601;07 Stadt & Reisen;metro;U-Bahn;Dnes si zapamätám slovo „metro“.;Heute merke ich mir das Wort „U-Bahn“.
602;07 Stadt & Reisen;auto;Auto;Dnes si zapamätám slovo „auto“.;Heute merke ich mir das Wort „Auto“.
603;07 Stadt & Reisen;taxík;Taxi;Dnes si zapamätám slovo „taxík“.;Heute merke ich mir das Wort „Taxi“.
604;07 Stadt & Reisen;bicykel;Fahrrad;Dnes si zapamätám slovo „bicykel“.;Heute merke ich mir das Wort „Fahrrad“.
605;07 Stadt & Reisen;motorka;Motorrad;Dnes si zapamätám slovo „motorka“.;Heute merke ich mir das Wort „Motorrad“.
606;07 Stadt & Reisen;lietadlo;Flugzeug;Dnes si zapamätám slovo „lietadlo“.;Heute merke ich mir das Wort „Flugzeug“.
607;07 Stadt & Reisen;loď;Schiff;Dnes si zapamätám slovo „loď“.;Heute merke ich mir das Wort „Schiff“.
608;07 Stadt & Reisen;lístok;Fahrkarte/Ticket;Dnes si zapamätám slovo „lístok“.;Heute merke ich mir das Wort „Fahrkarte/Ticket“.
609;07 Stadt & Reisen;cestovný lístok;Fahrkarte;Dnes si zapamätám slovo „cestovný lístok“.;Heute merke ich mir das Wort „Fahrkarte“.
610;07 Stadt & Reisen;nástupište;Bahnsteig;Dnes si zapamätám slovo „nástupište“.;Heute merke ich mir das Wort „Bahnsteig“.
611;07 Stadt & Reisen;koľaj;Gleis;Dnes si zapamätám slovo „koľaj“.;Heute merke ich mir das Wort „Gleis“.
612;07 Stadt & Reisen;smer;Richtung;Dnes si zapamätám slovo „smer“.;Heute merke ich mir das Wort „Richtung“.
613;07 Stadt & Reisen;mapa;Karte;Dnes si zapamätám slovo „mapa“.;Heute merke ich mir das Wort „Karte“.
614;07 Stadt & Reisen;hotel;Hotel;Dnes si zapamätám slovo „hotel“.;Heute merke ich mir das Wort „Hotel“.
615;07 Stadt & Reisen;recepcia;Rezeption;Dnes si zapamätám slovo „recepcia“.;Heute merke ich mir das Wort „Rezeption“.
616;07 Stadt & Reisen;rezervácia;Reservierung;Dnes si zapamätám slovo „rezervácia“.;Heute merke ich mir das Wort „Reservierung“.
617;07 Stadt & Reisen;pas;Reisepass;Dnes si zapamätám slovo „pas“.;Heute merke ich mir das Wort „Reisepass“.
618;07 Stadt & Reisen;doklad;Ausweis/Dokument;Dnes si zapamätám slovo „doklad“.;Heute merke ich mir das Wort „Ausweis/Dokument“.
619;07 Stadt & Reisen;batožina;Gepäck;Dnes si zapamätám slovo „batožina“.;Heute merke ich mir das Wort „Gepäck“.
620;07 Stadt & Reisen;kufor;Koffer;Dnes si zapamätám slovo „kufor“.;Heute merke ich mir das Wort „Koffer“.
621;07 Stadt & Reisen;výlet;Ausflug;Dnes si zapamätám slovo „výlet“.;Heute merke ich mir das Wort „Ausflug“.
622;07 Stadt & Reisen;dovolenka;Urlaub;Dnes si zapamätám slovo „dovolenka“.;Heute merke ich mir das Wort „Urlaub“.
623;07 Stadt & Reisen;hranica;Grenze;Dnes si zapamätám slovo „hranica“.;Heute merke ich mir das Wort „Grenze“.
624;07 Stadt & Reisen;krajina;Land;Dnes si zapamätám slovo „krajina“.;Heute merke ich mir das Wort „Land“.
625;07 Stadt & Reisen;Slovensko;Slowakei;Dnes si zapamätám slovo „Slovensko“.;Heute merke ich mir das Wort „Slowakei“.
626;07 Stadt & Reisen;Rakúsko;Österreich;Dnes si zapamätám slovo „Rakúsko“.;Heute merke ich mir das Wort „Österreich“.
627;07 Stadt & Reisen;Nemecko;Deutschland;Dnes si zapamätám slovo „Nemecko“.;Heute merke ich mir das Wort „Deutschland“.
628;07 Stadt & Reisen;Európa;Europa;Dnes si zapamätám slovo „Európa“.;Heute merke ich mir das Wort „Europa“.
629;07 Stadt & Reisen;hory;Berge;Dnes si zapamätám slovo „hory“.;Heute merke ich mir das Wort „Berge“.
630;07 Stadt & Reisen;hora;Berg;Dnes si zapamätám slovo „hora“.;Heute merke ich mir das Wort „Berg“.
631;07 Stadt & Reisen;les;Wald;Dnes si zapamätám slovo „les“.;Heute merke ich mir das Wort „Wald“.
632;07 Stadt & Reisen;jazero;See;Dnes si zapamätám slovo „jazero“.;Heute merke ich mir das Wort „See“.
633;07 Stadt & Reisen;rieka;Fluss;Dnes si zapamätám slovo „rieka“.;Heute merke ich mir das Wort „Fluss“.
634;07 Stadt & Reisen;more;Meer;Dnes si zapamätám slovo „more“.;Heute merke ich mir das Wort „Meer“.
635;07 Stadt & Reisen;pláž;Strand;Dnes si zapamätám slovo „pláž“.;Heute merke ich mir das Wort „Strand“.
636;07 Stadt & Reisen;ostrov;Insel;Dnes si zapamätám slovo „ostrov“.;Heute merke ich mir das Wort „Insel“.
637;07 Stadt & Reisen;príroda;Natur;Dnes si zapamätám slovo „príroda“.;Heute merke ich mir das Wort „Natur“.
638;07 Stadt & Reisen;chodník;Pfad/Gehweg;Dnes si zapamätám slovo „chodník“.;Heute merke ich mir das Wort „Pfad/Gehweg“.
639;07 Stadt & Reisen;most;Brücke;Dnes si zapamätám slovo „most“.;Heute merke ich mir das Wort „Brücke“.
640;07 Stadt & Reisen;križovatka;Kreuzung;Dnes si zapamätám slovo „križovatka“.;Heute merke ich mir das Wort „Kreuzung“.
641;07 Stadt & Reisen;semafor;Ampel;Dnes si zapamätám slovo „semafor“.;Heute merke ich mir das Wort „Ampel“.
642;07 Stadt & Reisen;parkovisko;Parkplatz;Dnes si zapamätám slovo „parkovisko“.;Heute merke ich mir das Wort „Parkplatz“.
643;07 Stadt & Reisen;benzín;Benzin;Dnes si zapamätám slovo „benzín“.;Heute merke ich mir das Wort „Benzin“.
644;07 Stadt & Reisen;čerpačka;Tankstelle;Dnes si zapamätám slovo „čerpačka“.;Heute merke ich mir das Wort „Tankstelle“.
645;07 Stadt & Reisen;diaľnica;Autobahn;Dnes si zapamätám slovo „diaľnica“.;Heute merke ich mir das Wort „Autobahn“.
646;07 Stadt & Reisen;premávka;Verkehr;Dnes si zapamätám slovo „premávka“.;Heute merke ich mir das Wort „Verkehr“.
647;07 Stadt & Reisen;zápcha;Stau;Dnes si zapamätám slovo „zápcha“.;Heute merke ich mir das Wort „Stau“.
648;07 Stadt & Reisen;nehoda;Unfall;Dnes si zapamätám slovo „nehoda“.;Heute merke ich mir das Wort „Unfall“.
649;07 Stadt & Reisen;rýchlosť;Geschwindigkeit;Dnes si zapamätám slovo „rýchlosť“.;Heute merke ich mir das Wort „Geschwindigkeit“.
650;07 Stadt & Reisen;kilometer;Kilometer;Dnes si zapamätám slovo „kilometer“.;Heute merke ich mir das Wort „Kilometer“.
651;07 Stadt & Reisen;vzdialenosť;Entfernung;Dnes si zapamätám slovo „vzdialenosť“.;Heute merke ich mir das Wort „Entfernung“.
652;07 Stadt & Reisen;vstup;Eintritt/Eingang;Dnes si zapamätám slovo „vstup“.;Heute merke ich mir das Wort „Eintritt/Eingang“.
653;07 Stadt & Reisen;výstup;Ausgang/Ausstieg;Dnes si zapamätám slovo „výstup“.;Heute merke ich mir das Wort „Ausgang/Ausstieg“.
654;07 Stadt & Reisen;otvorené;geöffnet;Dnes si zapamätám slovo „otvorené“.;Heute merke ich mir das Wort „geöffnet“.
655;07 Stadt & Reisen;zatvorené;geschlossen;Dnes si zapamätám slovo „zatvorené“.;Heute merke ich mir das Wort „geschlossen“.
656;07 Stadt & Reisen;voľné;frei;Dnes si zapamätám slovo „voľné“.;Heute merke ich mir das Wort „frei“.
657;07 Stadt & Reisen;obsadené;besetzt;Dnes si zapamätám slovo „obsadené“.;Heute merke ich mir das Wort „besetzt“.
658;07 Stadt & Reisen;meškanie;Verspätung;Dnes si zapamätám slovo „meškanie“.;Heute merke ich mir das Wort „Verspätung“.
659;07 Stadt & Reisen;odchod;Abfahrt;Dnes si zapamätám slovo „odchod“.;Heute merke ich mir das Wort „Abfahrt“.
660;07 Stadt & Reisen;príchod;Ankunft;Dnes si zapamätám slovo „príchod“.;Heute merke ich mir das Wort „Ankunft“.
661;07 Stadt & Reisen;spiatočný;hin und zurück;Dnes si zapamätám slovo „spiatočný“.;Heute merke ich mir das Wort „hin und zurück“.
662;07 Stadt & Reisen;jednosmerný;einfach/eine Richtung;Dnes si zapamätám slovo „jednosmerný“.;Heute merke ich mir das Wort „einfach/eine Richtung“.
663;07 Stadt & Reisen;turista;Tourist;Dnes si zapamätám slovo „turista“.;Heute merke ich mir das Wort „Tourist“.
664;07 Stadt & Reisen;sprievodca;Reiseführer;Dnes si zapamätám slovo „sprievodca“.;Heute merke ich mir das Wort „Reiseführer“.
665;07 Stadt & Reisen;pamiatka;Sehenswürdigkeit/Denkmal;Dnes si zapamätám slovo „pamiatka“.;Heute merke ich mir das Wort „Sehenswürdigkeit/Denkmal“.
666;07 Stadt & Reisen;múzeum;Museum;Dnes si zapamätám slovo „múzeum“.;Heute merke ich mir das Wort „Museum“.
667;07 Stadt & Reisen;galéria;Galerie;Dnes si zapamätám slovo „galéria“.;Heute merke ich mir das Wort „Galerie“.
668;07 Stadt & Reisen;kino;Kino;Dnes si zapamätám slovo „kino“.;Heute merke ich mir das Wort „Kino“.
669;07 Stadt & Reisen;divadlo;Theater;Dnes si zapamätám slovo „divadlo“.;Heute merke ich mir das Wort „Theater“.
670;07 Stadt & Reisen;koncert;Konzert;Dnes si zapamätám slovo „koncert“.;Heute merke ich mir das Wort „Konzert“.
671;07 Stadt & Reisen;festival;Festival;Dnes si zapamätám slovo „festival“.;Heute merke ich mir das Wort „Festival“.
672;07 Stadt & Reisen;kostol;Kirche;Dnes si zapamätám slovo „kostol“.;Heute merke ich mir das Wort „Kirche“.
673;07 Stadt & Reisen;hrad;Burg;Dnes si zapamätám slovo „hrad“.;Heute merke ich mir das Wort „Burg“.
674;07 Stadt & Reisen;nemocnica;Krankenhaus;Dnes si zapamätám slovo „nemocnica“.;Heute merke ich mir das Wort „Krankenhaus“.
675;07 Stadt & Reisen;lekáreň;Apotheke;Dnes si zapamätám slovo „lekáreň“.;Heute merke ich mir das Wort „Apotheke“.
676;07 Stadt & Reisen;polícia;Polizei;Dnes si zapamätám slovo „polícia“.;Heute merke ich mir das Wort „Polizei“.
677;07 Stadt & Reisen;banka;Bank;Dnes si zapamätám slovo „banka“.;Heute merke ich mir das Wort „Bank“.
678;07 Stadt & Reisen;bankomat;Geldautomat;Dnes si zapamätám slovo „bankomat“.;Heute merke ich mir das Wort „Geldautomat“.
679;07 Stadt & Reisen;toaleta;Toilette;Dnes si zapamätám slovo „toaleta“.;Heute merke ich mir das Wort „Toilette“.
680;07 Stadt & Reisen;informácie;Informationen;Dnes si zapamätám slovo „informácie“.;Heute merke ich mir das Wort „Informationen“.
681;07 Stadt & Reisen;vstupenka;Eintrittskarte;Dnes si zapamätám slovo „vstupenka“.;Heute merke ich mir das Wort „Eintrittskarte“.
682;07 Stadt & Reisen;cestujúci;Reisender;Dnes si zapamätám slovo „cestujúci“.;Heute merke ich mir das Wort „Reisender“.
683;08 Zeit, Zahlen & Wetter;čas;Zeit;Dnes si zapamätám slovo „čas“.;Heute merke ich mir das Wort „Zeit“.
684;08 Zeit, Zahlen & Wetter;hodina;Stunde;Dnes si zapamätám slovo „hodina“.;Heute merke ich mir das Wort „Stunde“.
685;08 Zeit, Zahlen & Wetter;minúta;Minute;Dnes si zapamätám slovo „minúta“.;Heute merke ich mir das Wort „Minute“.
686;08 Zeit, Zahlen & Wetter;sekunda;Sekunde;Dnes si zapamätám slovo „sekunda“.;Heute merke ich mir das Wort „Sekunde“.
687;08 Zeit, Zahlen & Wetter;poludnie;Mittag;Dnes si zapamätám slovo „poludnie“.;Heute merke ich mir das Wort „Mittag“.
688;08 Zeit, Zahlen & Wetter;polnoc;Mitternacht;Dnes si zapamätám slovo „polnoc“.;Heute merke ich mir das Wort „Mitternacht“.
689;08 Zeit, Zahlen & Wetter;pondelok;Montag;Dnes si zapamätám slovo „pondelok“.;Heute merke ich mir das Wort „Montag“.
690;08 Zeit, Zahlen & Wetter;utorok;Dienstag;Dnes si zapamätám slovo „utorok“.;Heute merke ich mir das Wort „Dienstag“.
691;08 Zeit, Zahlen & Wetter;streda;Mittwoch;Dnes si zapamätám slovo „streda“.;Heute merke ich mir das Wort „Mittwoch“.
692;08 Zeit, Zahlen & Wetter;štvrtok;Donnerstag;Dnes si zapamätám slovo „štvrtok“.;Heute merke ich mir das Wort „Donnerstag“.
693;08 Zeit, Zahlen & Wetter;piatok;Freitag;Dnes si zapamätám slovo „piatok“.;Heute merke ich mir das Wort „Freitag“.
694;08 Zeit, Zahlen & Wetter;sobota;Samstag;Dnes si zapamätám slovo „sobota“.;Heute merke ich mir das Wort „Samstag“.
695;08 Zeit, Zahlen & Wetter;nedeľa;Sonntag;Dnes si zapamätám slovo „nedeľa“.;Heute merke ich mir das Wort „Sonntag“.
696;08 Zeit, Zahlen & Wetter;január;Januar;Dnes si zapamätám slovo „január“.;Heute merke ich mir das Wort „Januar“.
697;08 Zeit, Zahlen & Wetter;február;Februar;Dnes si zapamätám slovo „február“.;Heute merke ich mir das Wort „Februar“.
698;08 Zeit, Zahlen & Wetter;marec;März;Dnes si zapamätám slovo „marec“.;Heute merke ich mir das Wort „März“.
699;08 Zeit, Zahlen & Wetter;apríl;April;Dnes si zapamätám slovo „apríl“.;Heute merke ich mir das Wort „April“.
700;08 Zeit, Zahlen & Wetter;máj;Mai;Dnes si zapamätám slovo „máj“.;Heute merke ich mir das Wort „Mai“.
